DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200321686,12/13/2020 12:00:00 AM,12/13/2020 12:00:00 AM,2125,03,Southwest,0341,1,761,BRANDISH WEAPON,2004 1822 1402 0334 0421,53,M,H,301,GAS STATION,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,761,930,,,COLISEUM,LA BREA                      BL,34.0183,-118.3556
200308939,03/23/2020 12:00:00 AM,03/23/2020 12:00:00 AM,1200,03,Southwest,0363,2,900,VIOLATION OF COURT ORDER,1814 2038 2000,21,F,B,231,DAY CARE/CHILDREN*,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,900,,,,3900    VIRGINIA                     RD,,34.0145,-118.3408
201007631,03/28/2020 12:00:00 AM,03/28/2020 12:00:00 AM,1645,10,West Valley,1033,1,761,BRANDISH WEAPON,0334 1822 0443 0319 0910,24,F,W,124,BUS STOP,208,RAZOR,IC,Invest Cont,761,,,,TAMPA,VICTORY,34.1866,-118.5535
200813946,09/10/2020 12:00:00 AM,09/08/2020 12:00:00 AM,1430,08,West LA,0886,1,310,BURGLARY,1606 1403 1202 0321 0344 1822,66,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,2700    MCCONNELL                    DR,,34.0445,-118.4035
200516455,11/10/2020 12:00:00 AM,11/10/2020 12:00:00 AM,1130,05,Harbor,0507,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2038 1300 0913 2000 0329 1814,29,F,W,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,740,,,1500 W  224TH                        ST,,33.8233,-118.3064
200122119,12/08/2020 12:00:00 AM,12/08/2020 12:00:00 AM,2007,01,Central,0164,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1912 0913 1814 2000 0421,25,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,930,,,,600 S  MAIN                         ST,,34.0448,-118.2504
200304583,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,0705,03,Southwest,0361,2,901,VIOLATION OF RESTRAINING ORDER,2038 0913,37,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,901,,,,3900    URSULA                       AV,,34.0163,-118.3523
200315476,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,1515,03,Southwest,0392,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0334 0302 1310 1407 0906 0450,21,M,B,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230,,,,48TH                         ST,CRENSHAW                     BL,34,-118.3307
201207213,02/05/2020 12:00:00 AM,02/05/2020 12:00:00 AM,0800,12,77th Street,1241,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1814 0408,48,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,6400    11TH                         AV,,33.9817,-118.3294
200809562,05/17/2020 12:00:00 AM,05/17/2020 12:00:00 AM,1430,08,West LA,0826,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0325 1822 1420 0104,0,X,X,403,DRUG STORE,,,IC,Invest Cont,442,,,,11900    SAN VICENTE                  BL,,34.0571,-118.474
